Month,Day,Used GB
April,01,34
April,02,35
April,03,36
April,04,44
April,05,46
April,06,47
April,07,48
April,08,49
April,09,49
April,10,49
April,11,49
April,12,49
April,13,49
April,14,49
April,15,50
April,16,50
April,17,52
April,18,53
April,19,54
April,20,54
April,21,56
April,22,57
April,23,57
April,24,59
April,25,60
April,26,60
April,27,60
April,28,61
April,29,61
April,30,61
May,41,62
May,42,62
May,43,62
May,44,63
May,45,65
May,46,65
May,47,65
May,48,66
May,49,66
May,50,67
May,51,67
May,52,66
May,53,68
May,54,68
May,55,70
May,56,70
May,57,70
May,58,71
May,59,71
May,60,71
May,61,71
May,62,72
May,63,72
May,64,72
May,65,63
May,66,63
May,67,63
May,68,63
May,69,64
May,70,64
May,71,64
