Month,Day,Used GB
April,01,34
April,02,35
April,03,36
April,04,44
April,05,46
April,06,47
April,07,48
April,08,49
April,09,49
April,10,49
April,11,49
April,12,49
April,13,49
April,14,49
April,15,50
April,16,50
April,17,52
April,18,53
April,19,54
April,20,54
April,21,56
April,22,57
April,23,57
April,24,59
April,25,60
April,26,60
April,27,60
April,28,61
April,29,61
April,30,61
May,31,62
May,32,62
May,33,62
May,34,63
May,35,65
May,36,65
May,37,65
May,38,66
May,39,66
May,40,67
May,41,67
May,42,66
May,43,68
May,44,68
May,45,70
May,46,70
May,47,70
May,48,71
May,49,71
May,50,71
May,51,71
May,52,72
May,53,72
May,54,72
May,55,63
May,56,63
May,57,63
May,58,63
May,59,64
May,60,64
May,61,64
June,62,64
June,63,64
June,64,65
June,65,65
June,66,66
June,67,65
June,68,65
June,69,65
June,70,66
June,71,66
June,72,66
June,73,67
June,74,67
June,75,67
June,76,67
June,77,67
June,78,68
June,79,68
June,80,68
June,81,68
June,82,68
June,83,68
June,84,68
June,85,69
June,86,69
June,87,68
June,88,69
June,89,68
June,90,68
June,91,68
July,92,68
July,93,68
July,94,68
July,95,69
July,96,69
July,97,69
July,98,70
July,99,70
July,100,71
July,101,71
July,102,71
July,103,72
July,104,72
July,105,72
July,106,72
July,107,72
July,108,73
July,109,73
July,110,73
July,111,73
July,112,73
July,113,73
July,114,73
July,114,77
July,115,77
July,116,77
July,117,77
July,118,78
July,119,79
July,120,79
August,121,79
August,122,79
August,123,79
August,124,76
August,125,77
August,126,77
August,127,77
August,128,77
August,129,78
August,130,78
August,131,78
August,132,78
August,133,78
August,134,78
August,135,78
August,136,78
August,137,79
August,138,79
August,139,79
August,140,79
August,141,79
August,142,80
August,143,80
August,144,80
August,145,81
August,146,81
August,147,81
August,148,81
August,149,81
August,150,82
August,151,84
September,152,58
September,153,51
September,154,51
September,155,51
September,156,51
September,157,51
September,158,51
September,159,51
September,160,52
September,161,52
September,162,52
September,163,52
September,164,52
September,165,52
September,166,53
September,167,53
September,168,53
September,169,54
September,170,54
September,171,55
September,172,56
September,173,56
September,174,57
September,175,57
September,176,57
September,177,58
September,178,59
September,179,59
September,180,59
September,181,61
October,182,62
October,183,63
October,184,63
October,185,63
October,186,64
October,187,64
October,188,65
October,189,65
October,190,65
October,191,65
October,192,65
October,193,66
October,194,67
October,195,67
October,196,68
October,197,76
October,198,76
October,199,77
October,200,77
October,201,78
October,202,78
October,203,78
October,204,78
October,205,78
October,206,78
October,207,78
October,208,78
October,209,79
October,210,79
October,211,79
October,212,80
November,213,80
November,214,81
November,215,81
November,216,82
November,217,82
November,218,82
November,219,83
November,220,84
November,221,84
November,222,84
November,223,66
November,224,67
November,225,67
November,226,67
November,227,68
November,228,68
November,229,68
November,230,69
November,231,70
November,232,70
November,233,70
November,234,70
November,235,71
November,236,72
November,237,72
November,238,73
November,239,73
November,240,73
November,241,74
November,242,75
December,243,75
December,244,76
December,245,77
December,246,77
