Month,Day,Used GB
April,01,34
April,02,35
April,03,36
April,04,44
April,05,46
April,06,47
April,07,48
April,08,49
April,09,49
April,10,49
April,11,49
April,12,49
April,13,49
April,14,49
April,15,50
April,16,50
April,17,52
April,18,53
April,19,54
April,20,54
April,21,56
April,22,57
April,23,57
April,24,59
April,25,60
April,26,60
April,27,60
April,28,61
April,29,61
April,30,61
May,31,62
May,32,62
May,33,62
May,34,63
May,35,65
May,36,65
May,37,65
May,38,66
May,39,66
May,40,67
May,41,67
May,42,66
May,43,68
May,44,68
May,45,70
May,46,70
May,47,70
May,48,71
May,49,71
May,50,71
May,51,71
May,52,72
May,53,72
May,54,72
May,55,63
May,56,63
May,57,63
May,58,63
May,59,64
May,60,64
May,61,64
June,62,64
June,63,64
June,64,65
June,65,65
June,66,66
June,67,65
June,68,65
June,69,65
June,70,66
June,71,66
June,72,66
June,73,67
June,74,67
June,75,67
June,76,67
June,77,67
June,78,68
June,79,68
June,80,68
June,81,68
June,82,68
June,83,68
June,84,68
June,85,69
June,86,69
June,87,68
June,88,69
June,89,68
June,90,68
June,91,68
July,92,68
July,93,68
July,94,68
July,95,69
July,96,69
July,97,69
July,98,70
July,99,70
July,100,71
July,101,71
July,102,71
July,103,72
July,104,72
July,105,72
July,106,72
July,107,72
July,108,73
July,109,73
July,110,73
July,111,73
July,112,73
July,113,73
July,114,73
